symbol,date,pattern_name,pattern_direction,price_at_pattern,forward_1d_return,forward_5d_return,forward_10d_return,forward_20d_return,backward_1d_return,backward_5d_return
A,2025-06-13,shooting_star,Bearish,117.08,0.016569866757772445,-0.008114110010249427,0.00794328664161263,-0.03536043730782371,-0.015389790597931195,0.011053540587219354
A,2025-06-26,doji,Bearish,119.42,-0.002093451683135153,0.016412661195779547,0.03232289398760676,0.006364093116730908,0.006744225257123563,0.0337603878116344
A,2025-07-24,shooting_star,Bearish,120.35,-0.0014125467386787494,-0.046032405484004925,,,0.0073658659077592325,0.03429013406668954
A,2025-07-28,doji,Bullish,119.54,0.002509620210808074,,,,-0.005325345315360297,0.06694037843627276
A,2025-07-29,doji,Bearish,119.84,-0.014936582109479358,,,,0.002509620210808074,0.0314140631723901
A,2025-06-03,bullish_engulfing,Bullish,112.76,0.019333096842852008,0.06881873004611556,0.029531748847108887,0.07006030507272075,0.015398469158036993,
A,2025-06-27,bearish_engulfing,Bearish,119.17,-0.00973399345472851,0.0006713098934295401,0.007636150037761153,0.0031048082571117274,-0.002093451683135153,0.03123918310834198
A,2025-07-01,bullish_engulfing,Bullish,120.45,0.0017434620174345682,0.007056870070568653,-0.05828144458281441,-0.01992528019925285,0.020676213880179626,0.02388643318599118
A,2025-07-18,bearish_engulfing,Bearish,113.99,-0.017106763751206146,0.05430300903588045,,,-0.020367823994499868,-0.07535691109669052
A,2025-07-30,bearish_engulfing,Bearish,118.05,-0.027445997458703898,,,,-0.014936582109479358,-0.011885829078429746
AA,2025-06-10,doji,Bearish,28.76,-0.0006954102920724314,-0.0013908205841447392,-0.02051460361613351,0.09770514603616129,0.007002801120448279,0.039768618944323986
AA,2025-06-24,doji,Bearish,28.8,-0.021874999999999964,0.04861111111111106,0.06180555555555547,0.11458333333333336,0.003134796238244509,-0.0072388831437435654
AA,2025-06-25,evening_star,Bearish,28.17,0.062477813276535246,0.11892083777067794,0.12069577564785226,0.13099041533546318,-0.021874999999999964,-0.019150417827297952
AA,2025-07-03,shooting_star,Bearish,31.15,-0.04301765650080257,-0.001926163723916492,-0.026324237560192625,,-0.011738578680203077,0.04076177748078847
AA,2025-06-17,bearish_engulfing,Bearish,28.72,-0.012883008356545872,-0.019150417827297952,0.09749303621169919,0.023328690807799504,-0.009996552912788786,-0.0013908205841447392
AAA,2025-06-03,doji,Bullish,24.8828,0.002097834648833698,0.004308196826723634,0.003102544729692851,0.003705370778208314,-0.000690763052208795,
AAA,2025-06-12,doji,Bearish,25.0,-0.0009999999999999432,0.0,0.0028000000000000112,-0.0009999999999999432,0.0010090170892260064,0.001293671423479108
AAA,2025-06-27,hammer,Bullish,25.07,-0.004216194654966047,-0.0023932987634622547,-0.003789389708815272,-0.0027921818907060345,0.0015980823012384797,0.0028000000000000112
AAA,2025-07-08,hammer,Bullish,24.9784,-0.0007366364538961563,-0.0012771034173526031,0.000864747141530258,,-0.0012634946021591747,0.0005648065437444316
AAA,2025-07-11,doji,Bearish,24.995,-0.0008001600320063842,-0.00020004000800170264,0.0010002000400079448,,0.0008008008008007837,-0.0037863690713431193
AAA,2025-07-14,hammer,Bullish,24.975,-0.0011411411411411843,0.0013053053053052504,0.001001001001000944,,-0.0008001600320063842,-0.0013994402239104415
AAA,2025-07-23,hammer,Bullish,25.025,-0.0013746253746252943,0.0,,,0.0009999999999999432,0.003006012024048068
AAA,2025-07-30,shooting_star,Bearish,25.025,-0.0007992007992007822,,,,-0.00018777692101781902,0.0
AAA,2025-06-10,bullish_engulfing,Bullish,24.99,-0.0006082432973189317,-0.0012004801920767342,0.002400960384153753,-0.000600240096038296,0.0012300024439787778,0.004308196826723634
AAA,2025-06-16,bearish_engulfing,Bearish,24.9465,0.0005411580782875558,0.003695909245785913,-0.0004609865111338913,0.0001403002425189485,-0.0011411411411411843,-0.0005128348952093445
AAAU,2025-06-23,shooting_star,Bearish,33.355,-0.015589866586718515,-0.020236846050067373,-0.022335481936741043,0.016189476840054152,0.003157894736842011,-0.016366853435564724
AAAU,2025-06-05,bearish_engulfing,Bearish,33.15,-0.013122171945701212,0.00950226244343906,0.0030165912518854126,-0.005731523378582134,-0.005400540054005393,
AACB,2025-06-25,evening_star,Bearish,10.09,0.0009910802775024566,0.001486620416253773,0.0019821605550049133,,-0.008840864440078571,-0.003948667324777978
AACBU,2025-06-06,doji,Bullish,10.32,0.0011918604651162553,0.0029069767441859845,0.01744186046511625,0.0,-0.0019245834098975624,
AACBU,2025-06-10,shooting_star,Bearish,10.33,0.0009680542110357973,0.0009680542110357973,-0.0019361084220715947,0.0,-0.00022260290545183248,0.0019398642095052932
AACBU,2025-06-12,shooting_star,Bearish,10.36,-0.0009652509652509448,-0.0019305019305018896,0.0019305019305020609,,0.001934235976789127,0.0019439259567306589
AACBU,2025-07-15,doji,Bearish,10.6,-0.00943396226415091,-0.02830188679245273,,,0.03012633624878528,0.00952380952380949
AACG,2025-06-12,shooting_star,Bearish,0.8231,0.013971570890535724,-0.0037662495444054215,-0.04021382578058561,0.08285748997691644,-0.025917159763313515,0.02874640669916263
AACG,2025-07-08,doji,Bullish,0.8286,0.0258266956311851,0.08616944243301958,0.26719768283852285,,-0.013806236610330808,0.07582446117891457
AACG,2025-07-15,hammer,Bullish,0.9,-0.04944555555555557,0.16666666666666669,0.4163333333333332,,0.009761023224503581,0.08616944243301958
AACG,2025-07-25,doji,Bullish,1.0071,0.12203356171184566,,,,-0.06749999999999996,0.22817073170731728
